Item,Description,Category,Fqty,Shortage,SupplierID
4906162,Mainboard RMV2003 JUC6.690.00279402 only for realme after-sales CH,210.boards-21.motherboard after-Sales Service,1,0,O27
4812217,Packaged Smart TV realme Smart TV 32 RMT101 Balck IN HD 32(inch) non full screen straight down type,344.Realme accessories -04.ioT TV TV,125,0,O27
4812218,Packaged Smart TV realme Smart TV 43 RMT102 Balck IN FHD 43(inch) non full screen straight down type,344.Realme accessories -04.ioT TV TV,1,0,O27
6230031,realme  refurbished TV realme Smart TV 80cm(32") RMT101 Black IN public market factory refurbished,344.Realme accessories -04.ioT TV TV,1,0,O27
4100475,Mainboard RMV2107 40" MBA-ANM9216-FT-B0001(CKD) (8GB 1GB) only for realme after-sales CH,210.boards-21.motherboard after-Sales Service,2,0,O27
8241104,Precise SMD resistor 1/20W24K?1% 0201,317.General Electronic Materials-07.RSistor,920000,0,O28
8241214,Precise SMD resistor 1/20W56K?1% 0201,317.General Electronic Materials-07.RSistor,350000,0,O28
9150008,Sensor IC MXM1120 WLCSP,317.General Electronic Materials-09.Sensorsors,165000,0,O15
8351023,Chip capacitor 25V 103 M X5R 0201,317.General Electronic Materials-06.CAPACITOR,803994,0,O28
9760417,BTB socket 24pin 0.35mm 0.60mm 2068142422,331. Plug-in-N/A,27438,0,O22
8660107,ESD component PESD5V0X1BCAL SOD882,317.General Electronic Materials-N/A,1320000,0,J10
9110156,Nest plate for IC QET-4101-0-12WLNSP-HR-00-0 WLNSP,313.platform solution 01. Chip IC,191396,0,J3
8410454,chip inductor 4.7NH?0.2NH 750mA 0402 HQ-R,317.General Electronic Materials-02.inductor,192940,0,O28
8410496,chip inductor 27NH?2% 280mA 0402 HQ-R,317.General Electronic Materials-02.inductor,25520,0,O28
8540230,Microphone 38dB ?1dB 2.75?1.85?0.9mm Patch A,317.General Electronic Materials-N/A,738000,0,O40
8351081,Chip capacitor 6.3V 226 M X5R 0603 T=1.0 denoise,317.General Electronic Materials-06.CAPACITOR,112000,0,O28
8410528,chip inductor 7.5NH?2% 570mA 0402 HQ-R,317.General Electronic Materials-02.inductor,69745,0,O28
9000149,Antenna switch MXD8680T QFN-14,316.RF Device-02.antenna Switch,220000,0,J9
9050613,Surface Acoustic Wave Filter QM22545TR13-15K,316.rf devices-04.filter,10900,0,O32
8241460,Precise SMD resistor 1/20W 680O ?1% 0201 - HQ,317.General Electronic Materials-07.RSistor,300900,0,O19
8241493,Precise SMD resistor 1/20W 820O ?1% 0201 HQ,317.General Electronic Materials-07.RSistor,225000,0,O19
8241463,Precise SMD resistor 1/20W 470K ?1% 0201 HQ,317.General Electronic Materials-07.RSistor,95670,0,O19
8351179,Chip capacitor 10V 225 M X5R 0402 - HQ,317.General Electronic Materials-06.CAPACITOR,650000,0,O19
8351180,Chip capacitor 16V 4.7uF M X5R 0402 Huaqin,317.General Electronic Materials-06.CAPACITOR,381900,0,O19
8420730,chip power inductor 0.56uH ?20% 2.7A(2.2A) 60mO HTOH16080H-R56MSR,317.General Electronic Materials-02.inductor,345000,0,O28
8351269,Chip capacitor 50V 2.2P ?0.1P NP0 0201,317.General Electronic Materials-06.CAPACITOR,3403000,0,O28
8410698,chip inductor 2.4nH ?0.1 260mA 0201,317.General Electronic Materials-02.inductor,5160000,0,O28
9000182,Antenna switch BGSX22G5A10 LGA,316.RF Device-02.antenna Switch,18000,0,J9
9050687,Surface Acoustic Wave Filter B39262B8886L210,316.rf devices-04.filter,400000,0,O32
9000213,Antenna switch MXD8648RT LGA-9,316.RF Device-02.antenna Switch,88830,0,J9
9170667,Ordinary IC AW35801CSR CSP,317.General Electronic Materials-01.General IC,7087,0,O31
3884073,The antenna shrapnel BD285 YCUT-FX-EH,321. Structured parts-12.smt small hardware,179000,0,J4
9820216,RF connector 3.2.08.0700 Huaqin,331. Plug-in-N/A,1120000,0,O19
8351474,Chip capacitor 50V 151 K X7R 0201,317.General Electronic Materials-06.CAPACITOR,1125000,0,O28
8351553,Chip capacitor 50V 27P J NP0 0201,317.General Electronic Materials-06.CAPACITOR,45000,0,O28
8410864,chip inductor 8.2nH ?3% 180mA 01005,317.General Electronic Materials-02.inductor,880000,0,O28
8410859,chip inductor 5.1nH ?3% 200mA 01005,317.General Electronic Materials-02.inductor,260000,0,M21
8410853,chip inductor 3.0nH ?0.1nH 250mA 01005,317.General Electronic Materials-02.inductor,800000,0,O28
8351686,Chip capacitor 16V 226 M X5R 0603 Limit material(Vmax=10V),317.General Electronic Materials-06.CAPACITOR,646000,0,O28
8351687,Chip capacitor 6.3V 476 M X5R 0603 B378 Limit material(Vmax=4.8V),317.General Electronic Materials-06.CAPACITOR,384000,0,O28
9050834,Surface Acoustic Wave Filter B39781B7502P810,316.rf devices-04.filter,140000,0,O32
8660264,ESD component PTVS3V3Z1BSC/S300 DFN0402  side ele-conduction,317.General Electronic Materials-N/A,1340000,0,J10
8351702,Chip capacitor 50V 15p ?5% C0G 0201 Wentai,317.General Electronic Materials-06.CAPACITOR,88352,0,O19
8351714,Chip capacitor 25V 10pf  5% C0G 0201 Huaqin,317.General Electronic Materials-06.CAPACITOR,1005000,0,O19
9480013,Diversity RX module HFQRXRKJB-512 LGA,316.RF DeviceS-N/A,34643,0,O21
8241987,Precise SMD resistor 1/20W 4.99K ?1% 0201,317.General Electronic Materials-07.RSistor,15000,0,O28
8241989,Precise SMD resistor 1/20W 27K ?1% 0201,317.General Electronic Materials-07.RSistor,1690000,0,O28
8351808,Chip capacitor 25V 1000pF ?10% X7R 0201 Wentai,317.General Electronic Materials-06.CAPACITOR,150000,0,O19
8660290,ESD component LTVS20H9.0T5G DFN2020,317.General Electronic Materials-N/A,12509,0,J10
9130318,PA VC7916-65 LGA,316.rf devices-01.pa,78000,0,O21
8351841,Chip capacitor 10V 226 M X5R 0603 B378&B785,317.General Electronic Materials-06.CAPACITOR,604000,0,O28
9760506,BTB socket 30P 0.35mm 0.6mm AJ26DK-S030VA3-R15000,331. Plug-in-N/A,57806,0,O22
8660294,ESD component TEA10201V05A0 0201 Huaqin,317.General Electronic Materials-N/A,82920,0,O19
9000286,Antenna switch VC1618A QFN,316.RF Device-02.antenna Switch,150000,0,J9
8351918,Chip capacitor 16V 2.2p ?0.1pf NP0 01005,317.General Electronic Materials-06.CAPACITOR,160000,0,O28
8351914,Chip capacitor 16V 1.2p ?0.05pf NP0 01005,317.General Electronic Materials-06.CAPACITOR,148918,0,O28
8351940,Chip capacitor 4V 475 M X5R 0201 (Vmax=3V),317.General Electronic Materials-06.CAPACITOR,45892,0,O28
8421012,chip power inductor 1.0uH ?20% 4.2A(4.1A) 45mO MPSM201610BE1R0M63-LF,317.General Electronic Materials-02.inductor,1802000,0,O28
8242061,Chip resistor 1/20W 20O ?5% 0201 Wentai,317.General Electronic Materials-07.RSistor,450000,0,O19
9050981,Surface Acoustic Wave Filter SAFFB1G56AC0F0A Wentai,316.rf devices-04.filter,50000,0,O19
9120354,Memory IC KM2L9001CM-B518 FBGA,313.platform solution 03.storage IC,26780,0,O37
9130353,PA RR88643-21 PAM,316.rf devices-01.pa,555439,0,O21
